X-position, Y-position, Z-position, X-pixel, Y-pixel, mua, mus, muaLUT, musLUT
35.15, 42.44, 3764.29,, 788.45, 517.86, 0.0131, 0.5574, 0.0125, 0.5775
35.22, 42.48, 3771.70,, 788.45, 517.68, 0.0132, 0.5528, 0.0125, 0.5775
35.07, 42.38, 3769.12,, 787.95, 517.41, 0.0130, 0.5628, 0.0129, 0.5659
29.55, 42.58, 3788.90,, 764.79, 517.34, 0.0135, 0.5531, 0.0131, 0.5659
23.28, 42.84, 3788.56,, 739.32, 518.33, 0.0131, 0.5506, 0.0127, 0.5659
23.18, 42.91, 3783.73,, 739.01, 518.81, 0.0130, 0.5608, 0.0125, 0.5775
23.22, 43.01, 3785.32,, 739.15, 519.11, 0.0130, 0.5618, 0.0125, 0.5775
19.46, 42.91, 3785.56,, 723.83, 518.73, 0.0129, 0.5642, 0.0125, 0.5775
19.48, 42.81, 3787.87,, 723.88, 518.26, 0.0128, 0.5658, 0.0125, 0.5775
15.04, 43.00, 3787.96,, 705.81, 518.96, 0.0127, 0.5642, 0.0123, 0.5775
14.96, 43.05, 3786.73,, 705.51, 519.22, 0.0128, 0.5615, 0.0123, 0.5775
9.96, 43.04, 3785.90,, 685.22, 519.21, 0.0126, 0.5674, 0.0123, 0.5775
7.61, 42.91, 3786.90,, 675.64, 518.66, 0.0126, 0.5625, 0.0125, 0.5659
5.57, 42.95, 3785.02,, 667.34, 518.91, 0.0125, 0.5580, 0.0125, 0.5542
2.98, 43.01, 3779.84,, 656.85, 519.35, 0.0123, 0.5664, 0.0123, 0.5659
-1.45, 43.08, 3778.78,, 638.80, 519.65, 0.0125, 0.5648, 0.0125, 0.5659
-6.81, 43.09, 3786.18,, 617.00, 519.39, 0.0127, 0.5443, 0.0121, 0.5659
-7.21, 43.29, 3791.90,, 615.41, 519.90, 0.0125, 0.5501, 0.0121, 0.5659
-7.13, 43.28, 3785.45,, 615.72, 520.12, 0.0125, 0.5567, 0.0123, 0.5659
-7.04, 43.30, 3783.96,, 616.03, 520.25, 0.0125, 0.5602, 0.0123, 0.5659
-6.79, 43.27, 3781.38,, 617.06, 520.26, 0.0126, 0.5583, 0.0121, 0.5775
57.42, 41.92, 3728.88,, 881.77, 517.40, 0.0141, 0.5320, 0.0135, 0.5542
56.67, 38.04, 3767.17,, 876.29, 500.98, 0.0140, 0.5307, 0.0133, 0.5542
55.43, 32.33, 3820.37,, 868.06, 477.56, 0.0125, 0.5547, 0.0119, 0.5775
55.59, 28.00, 3857.87,, 866.53, 460.30, 0.0126, 0.5556, 0.0123, 0.5659
55.57, 24.70, 3888.66,, 864.72, 447.32, 0.0123, 0.5696, 0.0123, 0.5659
55.56, 21.77, 3910.71,, 863.42, 436.08, 0.0123, 0.5684, 0.0123, 0.5659
55.67, 17.54, 3950.78,, 861.65, 419.89, 0.0129, 0.5433, 0.0125, 0.5542
56.39, 12.52, 3991.10,, 862.23, 401.25, 0.0121, 0.5835, 0.0129, 0.5542
57.16, 7.91, 4029.93,, 863.07, 384.41, 0.0129, 0.5441, 0.0129, 0.5426
55.84, 3.19, 4069.06,, 855.96, 367.50, 0.0136, 0.5253, 0.0131, 0.5426
53.61, -0.38, 4097.58,, 846.14, 354.94, 0.0126, 0.5448, 0.0123, 0.5542
45.87, -2.21, 4125.25,, 815.91, 348.61, 0.0120, 0.5845, 0.0119, 0.5892
45.85, -2.13, 4124.33,, 815.87, 348.86, 0.0118, 0.5943, 0.0119, 0.5892
45.68, -2.19, 4121.02,, 815.36, 348.67, 0.0122, 0.5806, 0.0119, 0.5892
35.28, -4.30, 4151.74,, 775.54, 341.43, 0.0121, 0.5747, 0.0117, 0.5892
27.51, -6.61, 4185.08,, 745.90, 333.64, 0.0124, 0.5654, 0.0121, 0.5775
15.31, -7.99, 4193.98,, 700.91, 328.98, 0.0118, 0.5795, 0.0119, 0.5775
10.62, -8.46, 4204.74,, 683.60, 327.43, 0.0124, 0.5624, 0.0117, 0.5892
4.12, -8.99, 4205.02,, 659.78, 325.64, 0.0121, 0.5796, 0.0115, 0.6008
-2.65, -9.28, 4214.69,, 635.01, 324.72, 0.0123, 0.5795, 0.0117, 0.6008
-13.14, -8.81, 4199.32,, 596.54, 326.20, 0.0122, 0.5849, 0.0117, 0.6008
-23.39, -8.31, 4177.40,, 558.50, 327.77, 0.0119, 0.5998, 0.0115, 0.6124
-35.21, -8.25, 4145.69,, 513.93, 327.76, 0.0121, 0.5915, 0.0115, 0.6124
